name,salary_from,salary_to,salary_currency,area_name,published_at
Network Senior Engineer,,,,Москва,2005-04-11T09:16:41+0400
Менеджер  по продажам/ менеджер проектов,,,,Москва,2005-05-04T16:00:53+0400
Аналитик в области интеграции информационных систем предприятия,,,,Москва,2005-01-24T10:29:31+0300
Ведущий разработчик - программист,,1300.0,USD,Москва,2005-03-22T14:36:53+0300
Менеджер по ведению проектов SAP,,,,Москва,2005-07-20T12:00:21+0400
Менеджер по работе с клиентами,,5000.0,USD,Москва,2005-11-07T09:43:40+0300
Менеджер по продажам решений MBS Axapta,,,,Москва,2005-02-07T19:00:12+0300
Руководитель проекта,,3000.0,USD,Москва,2005-05-11T18:47:33+0400
Менеджер по работе со стратегическими клиентами,,2500.0,USD,Москва,2005-03-14T09:03:19+0300
Пресейл-инженер  по решениям построения центров обработки данных,,2000.0,USD,Москва,2005-03-14T09:10:35+0300
Менеджер по поддержке и сопровождению программного обеспечения,,600.0,USD,Москва,2005-03-28T10:07:51+0400
БИЗНЕС АНАЛИТИК В ИТ / МЕНЕДЖЕР ПРОЕКТОВ,,,,Москва,2005-08-15T19:30:48+0400
"Sales Manager (sectors: Government, Public) (Western Company)",,,,Москва,2005-01-12T10:42:54+0300
Начальник контрактного отдела,,1000.0,USD,Москва,2005-03-14T09:33:28+0300
Solutions Consultant,,,,Москва,2005-04-11T11:16:16+0400
Ведущий программист на С,,1500.0,USD,Москва,2005-05-16T20:24:33+0400
Специалист по телекоммуникационному оборудованию,,1700.0,USD,Москва,2005-04-26T15:59:56+0400
Аналитик по информационной безопасности,,1800.0,USD,Москва,2005-03-14T09:10:36+0300
Тестировщик ПО,,,,Москва,2005-03-16T17:57:31+0300
"Стажер, Ассистент консультанта (SAP/R3 (FI, FI-AA, CO, MM, HR, ТОРО)",,1000.0,USD,Москва,2005-06-23T14:05:26+0400
Оператор  в call-center в г. Троицк,,,,Москва,2005-06-22T11:33:50+0400
ИНЖЕНЕР ПО ТЕСТИРОВАНИЮ (ПОЧТОВЫЕ СИСТЕМЫ),,1000.0,USD,Москва,2005-04-20T18:08:48+0400
Проджект-менеджер,,1200.0,USD,Москва,2005-01-20T11:55:03+0300
Инженер технического сопровождения,,800.0,USD,Москва,2005-04-06T15:18:03+0400
Руководитель направления внешних разработок,,2500.0,USD,Москва,2005-05-11T18:47:33+0400
Архитектор / консультант в области построения ИТ-инфраструктур,,1700.0,USD,Москва,2005-03-04T17:39:41+0300
Менеджер по продажам электрики,,1000.0,USD,Москва,2005-03-14T09:03:19+0300
