name,salary_from,salary_to,salary_currency,area_name,published_at
Разработчик на языке smalltalk,,2000.0,USD,Москва,2004-06-08T00:00:00+0400
Менеджер проекта СКС,,900.0,USD,Москва,2004-06-01T00:00:00+0400
Монтажник СКС,,600.0,USD,Москва,2004-06-01T00:00:00+0400
Инструктор в Учебный Центр /Instructor to Training centre  (Broadband),,,,Москва,2004-05-07T00:00:00+0400
Инженер в департамент технической поддержки/ GSM в г.Самара,,,,Самара,2004-05-07T00:00:00+0400
Инженер в департамент технической поддержки /Service&Software,,1.0,USD,Москва,2004-05-07T00:00:00+0400
Программист C C+ Assembler,,,,Москва,2004-08-10T10:51:14+0400
Специалист по технической поддержке IP-сети,,1400.0,USD,Москва,2004-05-07T11:58:51+0400
Ведущий специалист по сопровождению программного продукта,,800.0,USD,Москва,2004-05-07T12:14:25+0400
Специалист по качеству аудио/видео техники,,1200.0,USD,Москва,2004-06-01T00:00:00+0400
Ведущий специалист управления разработки,,850.0,USD,Москва,2004-05-07T12:38:41+0400
Инженер в департамент технической поддержки/ GSM,,,,Москва,2004-05-07T13:00:22+0400
Менеджер отдела рекламы,,,,Москва,2004-06-18T00:00:00+0400
Администратор сайта,,,,Москва,2004-05-07T15:56:07+0400
Программист 1С,,,,Москва,2004-05-17T00:00:00+0400
Специалист технической поддержки пользователей,,,,Москва,2004-06-15T00:00:00+0400
Technical Analyst,,,,Санкт-Петербург,2004-05-07T17:25:15+0400
IT специалист,,,,Москва,2004-05-07T18:47:38+0400
Web Developer,,1200.0,USD,Москва,2004-08-02T11:29:09+0400
Test Developer,,1200.0,USD,Москва,2004-08-02T11:29:52+0400
Manager,,,,Москва,2004-05-11T11:07:40+0400
Помощник системного администратора,,430.0,USD,Москва,2004-05-11T11:12:48+0400
Менеджер по продаже услуг связи международным операторам(IK-MUS),,2000.0,USD,Москва,2004-07-30T09:42:42+0400
Account director (вакансия от БЛМ-Консорт),,3500.0,USD,Москва,2004-08-11T11:14:50+0400
Business Development Manager (MH-IT-BDM) to a western HiTech company,,,,Москва,2004-07-30T09:40:31+0400
ВЕДУЩИЙ СПЕЦИАЛИСТ/НАЧАЛЬНИК ОТДЕЛА ПРОЦЕССИНГА в Банк.,,,,Москва,2004-05-11T12:31:08+0400
СПЕЦИАЛИСТ в отдел процессинга в Банк.,,,,Москва,2004-05-11T12:31:47+0400
Инженер в департамент технической поддержки/Fixed Network,,,,Москва,2004-05-11T12:52:55+0400
Программист 1С,,,,Москва,2004-05-11T12:56:57+0400
Senior Key Account Manager - Logistics Solutions,,,,Москва,2004-05-11T13:11:24+0400
Специалист по обслуживанию 1С Бухгалтерия 7.7,,650.0,USD,Москва,2004-05-11T13:11:39+0400
Consultant SAP R/3 - APO/BW,,,,Москва,2004-06-09T00:00:00+0400
Business Development Leader for Utilities Sector,,,,Москва,2004-05-11T13:15:59+0400
Websphere Sales Manager,,4000.0,USD,Москва,2004-05-11T13:16:36+0400
РУКОВОДИТЕЛЬ ПРОЕКТОВ ПО СИСТЕМАМ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА,,1200.0,USD,Москва,2004-05-20T00:00:00+0400
Business Development Leader for Utilities Sector,,,,Москва,2004-05-11T13:16:55+0400
Key Account Manager - Public Sector (IT Solutions),,,,Москва,2004-05-11T13:17:16+0400
Team Leader - SAP R/3 - MM,,4000.0,USD,Москва,2004-05-11T13:17:43+0400
"Consultant SAP R/3 - FI, CO",,3000.0,USD,Москва,2004-05-11T13:18:01+0400
Администратор БД Oracle/Unix,,,,Москва,2004-07-23T14:27:51+0400
Менеджер по работе с партнерами,,,,Москва,2004-06-09T00:00:00+0400
"Консультант по внедрению MBS Axapta (производство, логистика)",,2000.0,USD,Москва,2004-05-11T14:40:15+0400
Консультант по внедрению MBS Axapta (финансы),,2000.0,USD,Москва,2004-05-11T14:42:43+0400
Системный аналитик,,,,Москва,2004-05-11T14:45:23+0400
"Продакт-менеджер (направление флэш, память)",,3000.0,USD,Москва,2004-05-11T15:49:20+0400
Специалист отдела контента /контент-менеджер/,,,,Москва,2004-05-11T16:04:38+0400
